name,description,justification,year,longitude,latitude,area_hectares,category,states,region,iso
Hola ovice Historic Village,"<p>Hola ovice is an exceptionally complete and well-preserved example of a traditional central European village. It has a large number of outstanding 18th- and 19th-century vernacular buildings in a style known as 'South Bohemian folk Baroque', and preserves a ground plan dating from the Middle Ages.</p>","<p><em>Criterion (ii):</em> Holasovice is of special significance in that it represents the fusion of two vernacular building traditions to create an exceptional and enduring style, known as South Bohemian Folk Baroque.</p> <p><em>Criterion (iv):</em> The exceptional completeness and excellent preservation of Holasovice and its buildings make it an outstanding example of traditional rural settlement in central Europe.</p>",1998,14.25277778,48.95972222,11.4,Cultural,Czechia,Europe and North America,cz
Litomy l Castle,"<p>Litomy l Castle was originally a Renaissance arcade-castle of the type first developed in Italy and then adopted and greatly developed in central Europe in the 16th century. Its design and decoration are particularly fine, including the later High-Baroque features added in the 18th century. It preserves intact the range of ancillary buildings associated with an aristocratic residence of this type.</p>","<p><em>Criterion (ii):</em> Litomy l Castle is an outstanding and immaculately preserved example of the arcade castle, a type of building first developed in Italy and modified in the Czech lands to create an evolved form of special architectural quality.</p> <p><em>Criterion (iv):</em> Litomy l Castle illustrates in an exceptional way the aristocratic residences of central Europe in the Renaissance and their subsequent development under the influence of new artistic movements.</p>",1999,16.31444,49.87361,4.25,Cultural,Czechia,Europe and North America,cz
Tugendhat Villa in Brno,"<p>The Tugendhat Villa in Brno, designed by the architect Mies van der Rohe, is an outstanding example of the international style in the modern movement in architecture as it developed in Europe in the 1920s. Its particular value lies in the application of innovative spatial and aesthetic concepts that aim to satisfy new lifestyle needs by taking advantage of the opportunities afforded by modern industrial production.</p>","<p><em>Criterion (i):</em> The Tugendhat Villa is a masterpiece of the Modern Movement in architecture.</p> <p><em>Criterion (ii):</em> The German architect Mies van der Rohe applied the radical new concepts of the Modern Movement triumphantly to the Tugendhat Villa to the design of residential buildings.</p> <p><em>Criterion (iv):</em> Architecture was revolutionized by the Modern Movement in the 1920s and the work of Mies van der Rohe, epitomized by the Tugendhat Villa, played a major role in its worldwide diffusion and acceptance.</p>",2001,16.61605556,49.20718333,0.73,Cultural,Czechia,Europe and North America,cz
Jewish Quarter and St Procopius' Basilica in T eb  ,"<p>The ensemble of the Jewish Quarter, the old Jewish cemetery and the Basilica of St Procopius in T eb   are reminders of the co-existence of Jewish and Christian cultures from the Middle Ages to the 20th century. The Jewish Quarter bears outstanding testimony to the different aspects of the life of this community. St Procopius' Basilica, built as part of the Benedictine monastery in the early 13th century, is a remarkable example of the influence of Western European architectural heritage in this region.</p>","<p><em>Criterion (ii):</em> The Jewish Quarter and St Procopius Basilica of Trebic bear witness to the coexistence of and interchange of values between two different cultures, Jewish and Christian, over many centuries.</p> <p><em>Criterion (iii):</em> the Jewish Quarter of Trebic is an exceptional testimony to the cultural traditions related to the Jewish diaspora in central Europe.</p>",2003,15.87888889,49.21722222,6.55,Cultural,Czechia,Europe and North America,cz
Complex of Koguryo Tombs,"<p>The property includes several group and individual tombs - totalling about 30 individual tombs - from the later period of the Koguryo Kingdom, one of the strongest kingdoms in nowadays northeast China and half of the Korean peninsula between the 3rd century BC to 7th century AD. The tombs, many with beautiful wall paintings, are almost the only remains of this culture. Only about 90 out of more than 10,000 Koguryo tombs discovered in China and Korea so far, have wall paintings. Almost half of these tombs are located on this site and they are thought to have been made for the burial of kings, members of the royal family and the aristocracy. These paintings offer a unique testimony to daily life of this period.</p>","<p><em>Criterion (i):</em> The wall paintings of the Koguryo Tombs are masterpieces of the culture and period of the Koguryo kingdom; the construction of the tombs demonstrates ingenious engineering solutions.</p> <p><em>Criterion (ii):</em> The special burial customs of the Koguryo culture had an important influence on other cultures in the region, including those in Japan.</p> <p><em>Criterion (iii):</em> The Koguryo Tombs are an exceptional testimony of the Koguryo culture, its burial customs as well as its daily life and beliefs.</p> <p><em>Criterion (iv): </em>The complex of Koguryo Tombs is an important example of burial typology.</p>",2004,125.415,38.86305556,232.9,Cultural,Democratic People's Republic of Korea,Asia and the Pacific,kp
Historic Monuments and Sites in Kaesong,"<p>Situated in Kaesong city, in the south of the country, the site consists of 12 separate components, which together testify to the history and culture of the Koryo Dynasty from the 10th to 14th centuries. The geomantic layout of the former capital city of Kaesong, its palaces, institutions and tomb complex, defensive walls and gates embody the political, cultural, philosophical and spiritual values of a crucial era in the region&rsquo;s history.&nbsp; The monuments inscribed also include an astronomical and meteorological observatory, two schools (including one dedicated to educating national officials) and commemorative steles. The site testifies to the transition from Buddhism to neo-Confucianism in East Asia and to the assimilation of the cultural spiritual and political values of the states that existed prior to Korea&rsquo;s unification under the Koryo Dynasty. The integration of Buddhist, Confucian, Taoist and geomantic concepts is manifest in the planning of the site and the architecture of its monuments.</p>",,2013,126.5080556,37.98166667,494.2,Cultural,Democratic People's Republic of Korea,Asia and the Pacific,kp
Virunga National Park,"<p>Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.</p>",,1979,29.16666667,0.916666667,800000,Natural,Democratic Republic of the Congo,Africa,cd
Garamba National Park,"<p>The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.</p>",,1980,29.25,4,500000,Natural,Democratic Republic of the Congo,Africa,cd
Kahuzi-Biega National Park,"<p>A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.</p>",,1980,28.75,-2.5,600000,Natural,Democratic Republic of the Congo,Africa,cd
Salonga National Park,"<p>Salonga National Park is Africa's largest tropical rainforest reserve. Situated at the heart of the central basin of the Congo river, the park is very isolated and accessible only by water. It is the habitat of many endemic endangered species, such as the dwarf chimpanzee, the Congo peacock, the forest elephant and the African slender-snouted or 'false' crocodile.</p>",,1984,21,-2,3600000,Natural,Democratic Republic of the Congo,Africa,cd
Okapi Wildlife Reserve,"<p>The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.</p>","<p>The Committee inscribed the property as one of the most important sites for conservation, including the rare Okapi and rich floral diversity, under natural <em>criterion (x)</em>. The Committee expressed its hope that the activities outlined in the new management plan would ensure the integrity of the site. Considering the civil unrest in the country, the question of the long-term security of the site was raised.</p>",1996,28.5,2,1372625,Natural,Democratic Republic of the Congo,Africa,cd
Roskilde Cathedral,"<p>Built in the 12th and 13th centuries, this was Scandinavia's first Gothic cathedral to be built of brick and it encouraged the spread of this style throughout northern Europe. It has been the mausoleum of the Danish royal family since the 15th century. Porches and side chapels were added up to the end of the 19th century. Thus it provides a clear overview of the development of European religious architecture.</p>",,1995,12.07972222,55.64222222,0.4,Cultural,Denmark,Europe and North America,dk
Kronborg Castle,"<p>Located on a strategically important site commanding the Sund, the stretch of water between Denmark and Sweden, the Royal castle of Kronborg at Helsing&oslash;r (Elsinore) is of immense symbolic value to the Danish people and played a key role in the history of northern Europe in the 16th-18th centuries. Work began on the construction of this outstanding Renaissance castle in 1574, and its defences were reinforced according to the canons of the period's military architecture in the late 17th century. It has remained intact to the present day. It is world-renowned as Elsinore, the setting of Shakespeare's Hamlet.</p>","<p><em>Criterion (iv):</em> Kronborg Castle is an outstanding example of the Renaissance castle, and one which played a highly significant role in the history of this region of northern Europe.</p>",2000,12.62083333,56.03889,0,Cultural,Denmark,Europe and North America,dk
"Jelling Mounds, Runic Stones and Church","<p>The Jelling burial mounds and one of the runic stones are striking examples of pagan Nordic culture, while the other runic stone and the church illustrate the Christianization of the Danish people towards the middle of the 10th century.</p>",,1994,9.42,55.75638889,12.7,Cultural,Denmark,Europe and North America,dk
Ilulissat Icefjord,"<p>Located on the west coast of Greenland, 250 km north of the Arctic Circle, Greenland&rsquo;s Ilulissat Icefjord (40,240 ha) is the sea mouth of Sermeq Kujalleq, one of the few glaciers through which the Greenland ice cap reaches the sea. Sermeq Kujalleq is one of the fastest (19 m per day) and most active glaciers in the world. It annually calves over 35 km3 of ice, i.e. 10% of the production of all Greenland calf ice and more than any other glacier outside Antarctica. Studied for over 250 years, it has helped to develop our understanding of climate change and icecap glaciology. The combination of a huge ice-sheet and the dramatic sounds of a fast-moving glacial ice-stream calving into a fjord covered by icebergs makes for a dramatic and awe-inspiring natural phenomenon.</p>","<p><em>Criterion (viii):</em> The Ilulissat Icefjord is an outstanding example of a stage in the Earth&rsquo;s history: the last ice age of the Quaternary Period. The ice-stream is one of the fastest (19m per day) and most active in the world. Its annual calving of over 35 cu. km of ice accounts for 10% of the production of all Greenland calf ice, more than any other glacier outside Antarctica. The glacier has been the object of scientific attention for 250 years and, along with its relative ease of accessibility, has significantly added to the understanding of ice-cap glaciology, climate change and related geomorphic processes.</p> <p><em>Criterion (vii):</em> The combination of a huge ice sheet and a fast moving glacial ice-stream calving into a fjord covered by icebergs is a phenomenon only seen in Greenland and Antarctica. Ilulissat offers both scientists and visitors easy access for close view of the calving glacier front as it cascades down from the ice sheet and into the ice-choked fjord. The wild and highly scenic combination of rock, ice and sea, along with the dramatic sounds produced by the moving ice, combine to present a memorable natural spectacle.</p>",2004,-49.5,69.13333333,402400,Natural,Denmark,Europe and North America,dk
Stevns Klint,"<p>This geological site comprises a 15 km-long fossil-rich coastal cliff, offering exceptional evidence of the impact of the Chicxulub meteorite that crashed into the planet at the end of the Cretaceous, about 65 million years ago. Researchers think that this caused the most remarkable mass extinction ever, responsible for the disappearance of over 50 per cent of all life on Earth. The site harbours a record of the cloud of ash formed by the impact of the meteorite   the exact site being at the bottom of the ocean off the coast of Mexico s Yucat n Peninsula. An exceptional fossil record is visible at the site, showing the complete succession of fauna and micro-fauna charting the recovery after the mass extinction.</p>",,2014,12.42333333,55.26722222,50,Natural,Denmark,Europe and North America,dk
"Christiansfeld, a Moravian Church Settlement","<p>Founded in 1773 in South Jutland, the site is an example of a planned settlement of the Moravian Church, a Lutheran free congregation centred in Herrnhut, Saxony. The town was planned to represent the Protestant urban ideal, constructed around a central Church square. The architecture is homogenous and unadorned, with one and two-storey buildings in yellow brick with red tile roofs. The democratic organization of the Moravian Church, with its pioneering egalitarian philosophy, is expressed in its humanistic town planning. The settlement s plan opens onto agricultural land and includes important buildings for the common welfare such as large communal houses for the congregation s widows and unmarried men and women. The buildings are still in use and many are still owned by the local Moravian Church community .</p>",,2015,9.481388889,55.35555556,21.2,Cultural,Denmark,Europe and North America,dk
The par force hunting landscape in North Zealand,"<p>Located about 30 km northeast of Copenhagen, this cultural landscape encompasses the two hunting forests of Store Dyrehave and Gribskov, as well as the hunting park of J gersborg Hegn/J gersborg Dyrehave. This is a designed landscape where Danish kings and their court practiced par force hunting, or hunting with hounds, which reached its peak between the 17th and the late 18th centuries, when the absloute monarchs transformed it into a landscape of power. With hunting lanes laid out in a star system, combined with an orthogonal grid pattern, numbered stone posts, fences and a hunting lodge, the site demonstrates the application of Baroque landscaping principles to forested areas.</p>",,2015,12.35777778,55.91361111,4543,Cultural,Denmark,Europe and North America,dk
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,"<p>Kujataa is a subarctic farming landscape located in the southern region of Greenland. It bears witness to the cultural histories of the Norse farmer-hunters who started arriving from Iceland in the 10th century and of the Inuit hunters and Inuit farming communities that developed from the end of the 18th century. Despite their differences, the two cultures, European Norse and Inuit, created a cultural landscape based on farming, grazing and marine mammal hunting. The landscape represents the earliest introduction of farming to the Arctic, and the Norse expansion of settlement beyond Europe.</p>",,2017,-45.59805556,61.16444444,34.892,Cultural,Denmark,Europe and North America,dk
Aasivissuit   Nipisat. Inuit Hunting Ground between Ice and Sea,"<p>Located inside the Arctic Circle in the central part of West Greenland, the property contains the remains of 4,200 years of human history. It is a cultural landscape which bears witness to its creators  hunting of land and sea animals, seasonal migrations and a rich and well-preserved tangible and intangible cultural heritage linked to climate, navigation and medicine. The features of the property include large winter houses and evidence of caribou hunting, as well as archaeological sites from Paleo-Inuit and Inuit cultures. The cultural landscape includes seven key localities, from Nipisat in the west to Aasivissuit, near the ice cap in the east. It bears testimony to the resilience of the human cultures of the region and their traditions of seasonal migration.</p>",,2018,-51.43320556,67.06393056,417800,Cultural,Denmark,Europe and North America,dk
Morne Trois Pitons National Park,"<p>Luxuriant natural tropical forest blends with scenic volcanic features of great scientific interest in this national park centred on the 1,342-m-high volcano known as Morne Trois Pitons. With its precipitous slopes and deeply incised valleys, 50 fumaroles, hot springs, three freshwater lakes, a 'boiling lake' and five volcanoes, located on the park's nearly 7,000 ha, together with the richest biodiversity in the Lesser Antilles, Morne Trois Pitons National Park presents a rare combination of natural features of World Heritage value.</p>","<p>The Committee inscribed the Morne Trois Pitons National Park on the basis of natural <em>criteria (viii)</em> and <em>(x)</em> for its diverse flora with endemic species of vascular plants, its volcanoes, rivers and waterfalls, illustrating ongoing geo-morphological processes with high scenic value.</p>",1997,-61.28333333,15.26666667,6857,Natural,Dominica,Latin America and the Caribbean,dm
Colonial City of Santo Domingo,"<p>After Christopher Columbus's arrival on the island in 1492, Santo Domingo became the site of the first cathedral, hospital, customs house and university in the Americas. This colonial town, founded in 1498, was laid out on a grid pattern that became the model for almost all town planners in the New World.</p>",,1990,-69.91666667,18.48333333,106,Cultural,Dominican Republic,Latin America and the Caribbean,do
Gal pagos Islands,"<p>Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique  living museum and showcase of evolution . Located at the confluence of three ocean currents, the Gal pagos are a  melting pot  of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life   such as the land iguana, the giant tortoise and the many types of finch   that inspired Charles Darwin s theory of evolution by natural selection following his visit in 1835.</p>",,1978,-91,-0.81667,14066514,Natural,Ecuador,Latin America and the Caribbean,ec
City of Quito,"<p>Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compa  a, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.</p>",,1978,-78.5,-0.003888889,320,Cultural,Ecuador,Latin America and the Caribbean,ec
Sangay National Park,"<p>With its outstanding natural beauty and two active volcanoes, the park illustrates the entire spectrum of ecosystems, ranging from tropical rainforests to glaciers, with striking contrasts between the snowcapped peaks and the forests of the plains. Its isolation has encouraged the survival of indigenous species such as the mountain tapir and the Andean condor.</p>",,1983,-78.33333,-1.83333,271925,Natural,Ecuador,Latin America and the Caribbean,ec
Historic Centre of Santa Ana de los R os de Cuenca,"<p>Santa Ana de los R&iacute;os de Cuenca is set in a valley surrounded by the Andean mountains in the south of Ecuador. This inland colonial town (<em>entroterra</em> ), now the country's third city, was founded in 1557 on the rigorous planning guidelines issued 30 years earlier by the Spanish king Charles V. Cuenca still observes the formal orthogonal town plan that it has respected for 400 years. One of the region's agricultural and administrative centres, it has been a melting pot for local and immigrant populations. Cuenca's architecture, much of which dates from the 18th century, was 'modernized' in the economic prosperity of the 19th century as the city became a major exporter of quinine, straw hats and other products.</p>",<p>Criterion (ii): Cuenca illustrates the successful implantation of the principles of Renaissance urban planning in the Americas. Criterion (iv): The successful fusion of different societies and cultures in Latin America is vividly symbolized by the layout and townscape of Cuenca. Criterion (v): Cuenca is an outstanding example of a planned inland Spanish colonial city.</p>,1999,-78.98333333,-2.883333333,224.14,Cultural,Ecuador,Latin America and the Caribbean,ec
Memphis and its Necropolis   the Pyramid Fields from Giza to Dahshur,"<p>The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.</p>",,1979,31.13041,29.97604,16358.52,Cultural,Egypt,Arab States,eg
Ancient Thebes with its Necropolis,"<p>Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.</p>",,1979,32.6,25.73333,7390.16,Cultural,Egypt,Arab States,eg
Nubian Monuments from Abu Simbel to Philae,"<p>This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.</p>",,1979,31.62611,22.33639,374.48,Cultural,Egypt,Arab States,eg
Historic Cairo,"<p>Tucked away amid the modern urban area of Cairo lies one of the world's oldest Islamic cities, with its famous mosques, <em>madrasas, hammams</em> and fountains. Founded in the 10th century, it became the new centre of the Islamic world, reaching its golden age in the 14th century.</p>",,1979,31.26111,30.05,523.66,Cultural,Egypt,Arab States,eg
Abu Mena,"<p>The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.</p>",,1979,29.66666667,30.83583333,182.72,Cultural,Egypt,Arab States,eg
Saint Catherine Area,"<p>The Orthodox Monastery of St Catherine stands at the foot of Mount Horeb where, the Old Testament records, Moses received the Tablets of the Law. The mountain is known and revered by Muslims as Jebel Musa. The entire area is sacred to three world religions: Christianity, Islam, and Judaism. The Monastery, founded in the 6th century, is the oldest Christian monastery still in use for its initial function. Its walls and buildings of great significace to studies of Byzantine architecture and the Monastery houses outstanding collections of early Christian manuscripts and icons. The rugged mountainous landscape, containing numerous archaeological and religious sites and monuments, forms a perfect backdrop to the Monastery.</p>","<p><em>Criterion (i):</em> The architecture of St Catherine's Monastery, the artistic treasures that it houses, and its domestic integration into a rugged landscape combine to make it an outstanding example of human creative genius.</p> <p><em>Criterion (iii):</em> St Catherine's Monastery is one of the very early outstanding examples in Eastern tradition of a Christian monastic settlement located in a remote area. It demonstrates an intimate relationship between natural grandeur and spiritual commitment.</p> <p><em>Criterion (iv):</em> Ascetic monasticism in remote areas prevailed in the early Christian church and resulted in the establishment of monastic communities in remote places. St Catherine's Monastery is one of the earliest of these and the oldest to have survived intact, being used for its initial function without interruption since the 6th century.</p> <p><em>Criterion (vi):</em> The St Catherine&rsquo;s area, centred on the holy mountain of Mount Sina&iuml; (Jebel Musa, Mount Horeb), like the Old City of Jerusalem, is sacred to three world religions: Christianity, Islam, and Judaism.</p>",2002,33.97543,28.55623,60100,Cultural,Egypt,Arab States,eg
Wadi Al-Hitan (Whale Valley),"<p>Wadi Al-Hitan, Whale Valley, in the Western Desert of Egypt, contains invaluable fossil remains of the earliest, and now extinct, suborder of whales, Archaeoceti. These fossils represent one of the major stories of evolution: the emergence of the whale as an ocean-going mammal from a previous life as a land-based animal. This is the most important site in the world for the demonstration of this stage of evolution. It portrays vividly the form and life of these whales during their transition. The number, concentration and quality of such fossils here is unique, as is their accessibility and setting in an attractive and protected landscape. The fossils of Al-Hitan show the youngest archaeocetes, in the last stages of losing their hind limbs. Other fossil material in the site makes it possible to reconstruct the surrounding environmental and ecological conditions of the time.</p>","<p><em>Criterion (viii): </em>Wadi Al-Hitan is the most important site in the world to demonstrate one of the iconic changes that make up the record of life on Earth: the evolution of the whales. It portrays vividly their form and mode of life during their transition from land animals to a marine existence. It exceeds the values of other comparable sites in terms of the number, concentration and quality of its fossils, and their accessibility and setting in an attractive and protected landscape. It accords with key principles of the IUCN study on fossil World Heritage Sites, and represents significant values that are currently absent from the World Heritage List.</p>",2005,30.18333,29.33333,20015,Natural,Egypt,Arab States,eg
Joya de Cer n Archaeological Site,"<p>Joya de Cer&eacute;n was a pre-Hispanic farming community that, like Pompeii and Herculaneum in Italy, was buried under an eruption of the Laguna Caldera volcano c. AD 600. Because of the exceptional condition of the remains, they provide an insight into the daily lives of the Central American populations who worked the land at that time.</p>",,1993,-89.36916667,13.8275,3200,Cultural,El Salvador,Latin America and the Caribbean,sv
Asmara: A Modernist African City,"<p>Located at over 2,000 m above sea level, the capital of Eritrea developed from the 1890s onwards as a military outpost for the Italian colonial power. After 1935, Asmara underwent a large scale programme of construction applying the Italian rationalist idiom of the time to governmental edifices, residential and commercial buildings, churches, mosques, synagogues, cinemas, hotels, etc. The property encompasses the area of the city that resulted from various phases of planning between 1893 and 1941, as well as the indigenous unplanned neighbourhoods of Arbate Asmera and Abbashawel. It is an exceptional example of early modernist urbanism at the beginning of the 20th century and its application in an African context.</p>",,2017,38.93583333,15.33527778,481,Cultural,Eritrea,Africa,er
Historic Centre (Old Town) of Tallinn,"<p>The origins of Tallinn date back to the 13th century, when a castle was built there by the crusading knights of the Teutonic Order. It developed as a major centre of the Hanseatic League, and its wealth is demonstrated by the opulence of the public buildings (the churches in particular) and the domestic architecture of the merchants' houses, which have survived to a remarkable degree despite the ravages of fire and war in the intervening centuries.</p>","<p>The Committee decided to inscribe this property on the basis of <em>criteria (ii) and (iv)</em>, considering that Tallinn is an outstanding and exceptionally complete and well preserved example of a medieval northern European trading city that retains the salient features of this unique form of economic and social community to a remarkable degree.</p>",1997,24.73333333,59.43333,113,Cultural,Estonia,Europe and North America,ee
Simien National Park,"<p>Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.</p>",,1978,38.06666667,13.18333333,13600,Natural,Ethiopia,Africa,et
Lower Valley of the Awash,"<p>The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.</p>",,1980,40.57939,11.10006,0,Cultural,Ethiopia,Africa,et
Tiya,"<p>Tiya is among the most important of the roughly 160 archaeological sites discovered so far in the Soddo region, south of Addis Ababa. The site contains 36 monuments, including 32 carved stelae covered with symbols, most of which are difficult to decipher. They are the remains of an ancient Ethiopian culture whose age has not yet been precisely determined.</p>",,1980,38.6121,8.43491,0,Cultural,Ethiopia,Africa,et
Aksum,"<p>The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.</p>",,1980,38.71861,14.13019,0,Cultural,Ethiopia,Africa,et
Lower Valley of the Omo,"<p>A prehistoric site near Lake Turkana, the lower valley of the Omo is renowned the world over. The discovery of many fossils there, especially <em>Homo gracilis</em>, has been of fundamental importance in the study of human evolution.</p>",,1980,35.96666667,4.8,0,Cultural,Ethiopia,Africa,et
"Rock-Hewn Churches, Lalibela","<p>The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.</p>",,1978,39.04042,12.02935,0,Cultural,Ethiopia,Africa,et
"Fasil Ghebbi, Gondar Region","<p>In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.</p>",,1979,37.46617,12.60692,0,Cultural,Ethiopia,Africa,et
"Harar Jugol, the Fortified Historic Town","<p>The fortified historic town of Harar is located in the eastern part of the country on a plateau with deep gorges surrounded by deserts and savannah. The walls surrounding this sacred Muslim city were built between the 13th and 16th centuries. Harar Jugol, said to be the fourth holiest city of Islam, numbers 82 mosques, three of which date from the 10th century, and 102 shrines, but the townhouses with their exceptional interior design constitute the most spectacular part of Harar's cultural heritage. The impact of African and Islamic traditions on the development of the town's building types and urban layout make for its particular character and uniqueness.</p>",,2006,42.13777778,9.308888889,48,Cultural,Ethiopia,Africa,et
Konso Cultural Landscape,"<p>Konso Cultural Landscape is a 55km2 arid property of stone walled terraces and fortified settlements in the Konso highlands of Ethiopia. It constitutes a spectacular example of a living cultural tradition stretching back 21 generations (more than 400 years) adapted to its dry hostile environment. The landscape demonstrates the shared values, social cohesion and engineering knowledge of its communities. The site also features anthropomorphic wooden statues - grouped to represent respected members of their communities and particularly heroic events - which are an exceptional living testimony to funerary traditions that are on the verge of disappearing. Stone steles in the towns express a complex system of marking the passing of generations of leaders.</p>",,2011,37.4,5.3,23000,Cultural,Ethiopia,Africa,et
Levuka Historical Port Town,"<p>The town and its low line of buildings set among coconut and mango trees along the beach front was the first colonial capital of Fiji, ceded to the British in 1874. It developed from the early 19th century as a centre of commercial activity by Americans and Europeans who built warehouses, stores, port facilities, residences, and religious, educational and social institutions around the villages of the South Pacific island&rsquo;s indigenous population. It is a rare example of a late colonial port town that was influenced in its development by the indigenous community which continued to outnumber the European settlers. Thus the town, an outstanding example of late 19th century Pacific port settlements, reflects the integration of local building traditions by a supreme naval power, leading to the emergence of a unique landscape.</p>",,2013,178.8345333,-17.68337778,69.6,Cultural,Fiji,Asia and the Pacific,fj
Bronze Age Burial Site of Sammallahdenm ki,"<p>This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago.</p>",<p><em>Criterion (iii):</em> The Sammallahdenm&auml;ki cairn cemetery bears exceptional witness to the society of the Bronze Age of Scandinavia.</p> <p><em>Criterion (iv):</em> The Sammallahdenm&auml;ki cemetery is an outstanding example of Bronze Age funerary practices in Scandinavia.</p>,1999,21.7775,61.12056,0,Cultural,Finland,Europe and North America,fi
Old Rauma,"<p>Situated on the Gulf of Botnia, Rauma is one of the oldest harbours in Finland. Built around a Franciscan monastery, where the mid-15th-century Holy Cross Church still stands, it is an outstanding example of an old Nordic city constructed in wood. Although ravaged by fire in the late 17th century, it has preserved its ancient vernacular architectural heritage.</p>",,1991,21.51167,61.12806,29,Cultural,Finland,Europe and North America,fi
Fortress of Suomenlinna,"<p>Built in the second half of the 18th century by Sweden on a group of islands located at the entrance of Helsinki's harbour, this fortress is an especially interesting example of European military architecture of the time.</p>",,1991,24.98722,60.14722,210,Cultural,Finland,Europe and North America,fi
Pet j vesi Old Church,"<p>Pet j vesi Old Church, in central Finland, was built of logs between 1763 and 1765. This Lutheran country church is a typical example of an architectural tradition that is unique to eastern Scandinavia. It combines the Renaissance conception of a centrally planned church with older forms deriving from Gothic groin vaults.</p>",,1994,25.18333,62.25,2.98,Cultural,Finland,Europe and North America,fi
